Label	Bone	Specification version	Animation time	Bone rest X global origin in meters	Bone rest Y global origin in meters	Bone rest Z global origin in meters	Bone rest truncated normalized basis axis x 0	Bone rest truncated normalized basis axis x 1	Bone rest truncated normalized basis axis x 2	Bone rest truncated normalized basis axis y 0	Bone rest truncated normalized basis axis y 1	Bone rest truncated normalized basis axis y 2	Bone rest X global scale in meters	Bone rest Y global scale in meters	Bone rest Z global scale in meters	Bone X global origin in meters	Bone Y global origin in meters	Bone Z global origin in meters	Bone truncated normalized basis axis x 0	Bone truncated normalized basis axis x 1	Bone truncated normalized basis axis x 2	Bone truncated normalized basis axis y 0	Bone truncated normalized basis axis y 1	Bone truncated normalized basis axis y 2	Bone X global scale in meters	Bone Y global scale in meters	Bone Z global scale in meters	Bone parent X global origin in meters	Bone parent Y global origin in meters	Bone parent Z global origin in meters	Bone parent truncated normalized basis axis x 0	Bone parent truncated normalized basis axis x 1	Bone parent truncated normalized basis axis x 2	Bone parent truncated normalized basis axis y 0	Bone parent truncated normalized basis axis y 1	Bone parent truncated normalized basis axis y 2	Bone parent X global scale in meters	Bone parent Y global scale in meters	Bone parent Z global scale in meters
hips	Hips	VERSION_NONE	0	0.00000000011084	0.00000000011084	0.00000000011084	1	0	0	0	1	0	1	1	1	0.00000000011084	1.03117954730988	-0.06179988384247	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt02	VERSION_NONE	0	-0.10642689466476	-0.10642689466476	-0.10642689466476	1	0	0	0	1	0	1	1	1	-0.10642689466476	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1	-0.10642689466476	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt02_end	VERSION_NONE	0	-0.07040175795555	-0.07040175795555	-0.07040175795555	1	0	0	0	1	0	1	1	1	-0.17682865262032	0.93226850032806	-0.04720014333725	1	0	0	0	1	0	1	1	1	-0.17682865262032	0.93226850032806	-0.04720014333725	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt03	VERSION_NONE	0	-0.04811492934823	-0.04811492934823	-0.04811492934823	1	0	0	0	1	0	1	1	1	-0.04811492934823	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1	-0.04811492934823	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt03_end	VERSION_NONE	0	-0.05138335749507	-0.05138335749507	-0.05138335749507	1	0	0	0	1	0	1	1	1	-0.0994982868433	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1	-0.0994982868433	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1
leftUpperLeg	LeftUpLeg	VERSION_NONE	0	-0.07144650071859	-0.07144650071859	-0.07144650071859	1	0	0	0	1	0	1	1	1	-0.07144650071859	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1	-0.07144650071859	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1
leftLowerLeg	LeftLeg	VERSION_NONE	0	0.01566417887807	0.01566417887807	0.01566417887807	1	0	0	0	1	0	1	1	1	-0.05578232184052	0.58720636367798	-0.05637860298157	1	0	0	0	1	0	1	1	1	-0.05578232184052	0.58720636367798	-0.05637860298157	1	0	0	0	1	0	1	1	1
leftFoot	LeftFoot	VERSION_NONE	0	0.01054899021983	0.01054899021983	0.01054899021983	1	0	0	0	1	0	1	1	1	-0.04523333162069	0.16505289077759	-0.01658700406551	1	0	0	0	1	0	1	1	1	-0.04523333162069	0.16505289077759	-0.01658700406551	1	0	0	0	1	0	1	1	1
leftToes	LeftToe	VERSION_NONE	0	0.00606931373477	0.00606931373477	0.00606931373477	1	0	0	0	1	0	1	1	1	-0.03916401788592	0.07671844959259	-0.08461366593838	1	0	0	0	1	0	1	1	1	-0.03916401788592	0.07671844959259	-0.08461366593838	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftToe_end	VERSION_NONE	0	0.00214638188481	0.00214638188481	0.00214638188481	1	0	0	0	1	0	1	1	1	-0.03701763600111	0.05708557367325	-0.13175150752068	1	0	0	0	1	0	1	1	1	-0.03701763600111	0.05708557367325	-0.13175150752068	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt01	VERSION_NONE	0	-0.00227116048336	-0.00227116048336	-0.00227116048336	1	0	0	0	1	0	1	1	1	-0.07371766120195	0.96909195184708	-0.12690621614456	1	0	0	0	1	0	1	1	1	-0.07371766120195	0.96909195184708	-0.12690621614456	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftSkirt01_end	VERSION_NONE	0	-0.00884404033422	-0.00884404033422	-0.00884404033422	1	0	0	0	1	0	1	1	1	-0.08256170153618	0.89158815145493	-0.15020883083344	1	0	0	0	1	0	1	1	1	-0.08256170153618	0.89158815145493	-0.15020883083344	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt02	VERSION_NONE	0	0.10642691701651	0.10642691701651	0.10642691701651	1	0	0	0	1	0	1	1	1	0.10642691701651	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1	0.10642691701651	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt02_end	VERSION_NONE	0	0.07040176540613	0.07040176540613	0.07040176540613	1	0	0	0	1	0	1	1	1	0.17682868242264	0.93226844072342	-0.04720014333725	1	0	0	0	1	0	1	1	1	0.17682868242264	0.93226844072342	-0.04720014333725	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt03	VERSION_NONE	0	0.04811492934823	0.04811492934823	0.04811492934823	1	0	0	0	1	0	1	1	1	0.04811492934823	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1	0.04811492934823	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt03_end	VERSION_NONE	0	0.05138337984681	0.05138337984681	0.05138337984681	1	0	0	0	1	0	1	1	1	0.09949830919504	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1	0.09949830919504	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1
rightUpperLeg	RightUpLeg	VERSION_NONE	0	0.07144649326801	0.07144649326801	0.07144649326801	1	0	0	0	1	0	1	1	1	0.07144649326801	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1	0.07144649326801	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1
rightLowerLeg	RightLeg	VERSION_NONE	0	-0.01566473767161	-0.01566473767161	-0.01566473767161	1	0	0	0	1	0	1	1	1	0.0557817555964	0.58720630407333	-0.0563787817955	1	0	0	0	1	0	1	1	1	0.0557817555964	0.58720630407333	-0.0563787817955	1	0	0	0	1	0	1	1	1
rightFoot	RightFoot	VERSION_NONE	0	-0.01055052876472	-0.01055052876472	-0.01055052876472	1	0	0	0	1	0	1	1	1	0.04523122683167	0.16505283117294	-0.01658700406551	1	0	0	0	1	0	1	1	1	0.04523122683167	0.16505283117294	-0.01658700406551	1	0	0	0	1	0	1	1	1
rightToes	RightToe	VERSION_NONE	0	-0.0060699544847	-0.0060699544847	-0.0060699544847	1	0	0	0	1	0	1	1	1	0.03916127234697	0.07671856880188	-0.08461366593838	1	0	0	0	1	0	1	1	1	0.03916127234697	0.07671856880188	-0.08461366593838	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightToe_end	VERSION_NONE	0	-0.00214665383101	-0.00214665383101	-0.00214665383101	1	0	0	0	1	0	1	1	1	0.03701461851597	0.0570855140686	-0.13175144791603	1	0	0	0	1	0	1	1	1	0.03701461851597	0.0570855140686	-0.13175144791603	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt01	VERSION_NONE	0	0.00227202475071	0.00227202475071	0.00227202475071	1	0	0	0	1	0	1	1	1	0.07371851801872	0.96909195184708	-0.12690621614456	1	0	0	0	1	0	1	1	1	0.07371851801872	0.96909195184708	-0.12690621614456	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	RightSkirt01_end	VERSION_NONE	0	0.00884426385164	0.00884426385164	0.00884426385164	1	0	0	0	1	0	1	1	1	0.08256278187037	0.89158821105957	-0.15020871162415	1	0	0	0	1	0	1	1	1	0.08256278187037	0.89158821105957	-0.15020871162415	1	0	0	0	1	0	1	1	1
spine	Spine	VERSION_NONE	0	-0.00000000008112	-0.00000000008112	-0.00000000008112	1	0	0	0	1	0	1	1	1	0.00000000002972	1.09179198741913	-0.07648921012878	1	0	0	0	1	0	1	1	1	0.00000000002972	1.09179198741913	-0.07648921012878	1	0	0	0	1	0	1	1	1
chest	Chest	VERSION_NONE	0	-0.00000000122693	-0.00000000122693	-0.00000000122693	1	0	0	0	1	0	1	1	1	-0.00000000119721	1.19764149188995	-0.0700786113739	1	0	0	0	1	0	1	1	1	-0.00000000119721	1.19764149188995	-0.0700786113739	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftBust	VERSION_NONE	0	-0.04690451547503	-0.04690451547503	-0.04690451547503	1	0	0	0	1	0	1	1	1	-0.04690451547503	1.22466635704041	-0.07217574119568	1	0	0	0	1	0	1	1	1	-0.04690451547503	1.22466635704041	-0.07217574119568	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	LeftBust_end	VERSION_NONE	0	-0.02767348662019	-0.02767348662019	-0.02767348662019	1	0	0	0	1	0	1	1	1	-0.07457800209522	1.24569964408875	-0.18693566322327	1	0	0	0	1	0	1	1	1	-0.07457800209522	1.24569964408875	-0.18693566322327	1	0	0	0	1	0	1	1	1
leftShoulder	LeftShoulder	VERSION_NONE	0	-0.03166590258479	-0.03166590258479	-0.03166590258479	1	0	0	0	1	0	1	1	1	-0.03166590258479	1.30715429782867	-0.02405118942261	1	0	0	0	1	0	1	1	1	-0.03166590258479	1.30715429782867	-0.02405118942261	1	0	0	0	1	0	1	1	1
leftUpperArm	LeftArm	VERSION_NONE	0	-0.06611776351929	-0.06611776351929	-0.06611776351929	1	0	0	0	1	0	1	1	1	-0.09778366982937	1.32086634635925	-0.02041518688202	1	0	0	0	1	0	1	1	1	-0.09778366982937	1.32086634635925	-0.02041518688202	1	0	0	0	1	0	1	1	1
