Label	Bone	Specification version	Animation time	Bone rest X global origin in meters	Bone rest Y global origin in meters	Bone rest Z global origin in meters	Bone rest truncated normalized basis axis x 0	Bone rest truncated normalized basis axis x 1	Bone rest truncated normalized basis axis x 2	Bone rest truncated normalized basis axis y 0	Bone rest truncated normalized basis axis y 1	Bone rest truncated normalized basis axis y 2	Bone rest X global scale in meters	Bone rest Y global scale in meters	Bone rest Z global scale in meters	Bone X global origin in meters	Bone Y global origin in meters	Bone Z global origin in meters	Bone truncated normalized basis axis x 0	Bone truncated normalized basis axis x 1	Bone truncated normalized basis axis x 2	Bone truncated normalized basis axis y 0	Bone truncated normalized basis axis y 1	Bone truncated normalized basis axis y 2	Bone X global scale in meters	Bone Y global scale in meters	Bone Z global scale in meters	Bone parent X global origin in meters	Bone parent Y global origin in meters	Bone parent Z global origin in meters	Bone parent truncated normalized basis axis x 0	Bone parent truncated normalized basis axis x 1	Bone parent truncated normalized basis axis x 2	Bone parent truncated normalized basis axis y 0	Bone parent truncated normalized basis axis y 1	Bone parent truncated normalized basis axis y 2	Bone parent X global scale in meters	Bone parent Y global scale in meters	Bone parent Z global scale in meters
hips	Hips	VERSION_NONE	0	0.00027780767414	0.00027780767414	0.00027780767414	1	0	0	0	1	0	1	1	1	0.00027780767414	0.91814631223679	-0.02424664236605	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	Spine	VERSION_NONE	0	-0.00000000081491	-0.00000000081491	-0.00000000081491	1	0	0	0	1	0	1	1	1	0.00027780685923	1.00721716880798	-0.01556464284658	1	0	0	0	1	0	1	1	1	0.00027780685923	1.00721716880798	-0.01556464284658	1	0	0	0	1	0	1	1	1
spine	Spine1	VERSION_NONE	0	-0.00000000096043	-0.00000000096043	-0.00000000096043	1	0	0	0	1	0	1	1	1	0.0002778058988	1.11113333702087	-0.00543544162065	1	0	0	0	1	0	1	1	1	0.0002778058988	1.11113333702087	-0.00543544162065	1	0	0	0	1	0	1	1	1
chest	Spine2	VERSION_NONE	0	-0.00000000101863	-0.00000000101863	-0.00000000101863	1	0	0	0	1	0	1	1	1	0.00027780488017	1.2298948764801	0.00614080950618	1	0	0	0	1	0	1	1	1	0.00027780488017	1.2298948764801	0.00614080950618	1	0	0	0	1	0	1	1	1
neck	Neck	VERSION_NONE	0	0.00000004703179	0.00000004703179	0.00000004703179	1	0	0	0	1	0	1	1	1	0.00027785191196	1.36350083351135	0.01916396059096	1	0	0	0	1	0	1	1	1	0.00027785191196	1.36350083351135	0.01916396059096	1	0	0	0	1	0	1	1	1
head	Head	VERSION_NONE	0	-0.00000010023359	-0.00000010023359	-0.00000010023359	1	0	0	0	1	0	1	1	1	0.00027775167837	1.44945859909058	-0.00133424252272	1	0	0	0	1	0	1	1	1	0.00027775167837	1.44945859909058	-0.00133424252272	1	0	0	0	1	0	1	1	1
VRM_BONE_NONE	leaf	VERSION_NONE	0	-0.00000021193409	-0.00000021193409	-0.00000021193409	1	0	0	0	1	0	1	1	1	0.00027753974427	1.62902247905731	-0.0013336436823	1	0	0	0	1	0	1	1	1	0.00027753974427	1.62902247905731	-0.0013336436823	1	0	0	0	1	0	1	1	1
leftEye	LeftEye	VERSION_NONE	0	-0.02600945159793	-0.02600945159793	-0.02600945159793	1	0	0	0	1	0	1	1	1	-0.02573169954121	1.52210021018982	-0.0998627692461	1	0	0	0	1	0	1	1	1	-0.02573169954121	1.52210021018982	-0.0998627692461	1	0	0	0	1	0	1	1	1
rightEye	RightEye	VERSION_NONE	0	0.02649725787342	0.02649725787342	0.02649725787342	1	0	0	0	1	0	1	1	1	0.02677500993013	1.52210032939911	-0.09986268728971	1	0	0	0	1	0	1	1	1	0.02677500993013	1.52210032939911	-0.09986268728971	1	0	0	0	1	0	1	1	1
leftShoulder	LeftShoulder	VERSION_NONE	0	-0.04666577279568	-0.04666577279568	-0.04666577279568	1	0	0	0	1	0	1	1	1	-0.04638796672225	1.34762716293335	0.01933719031513	1	0	0	0	1	0	1	1	1	-0.04638796672225	1.34762716293335	0.01933719031513	1	0	0	0	1	0	1	1	1
