bone	bone_rest_x_global_origin_in_meters	bone_rest_y_global_origin_in_meters	bone_rest_z_global_origin_in_meters	bone_rest_truncated_normalized_basis_axis_x_0	bone_rest_truncated_normalized_basis_axis_x_1	bone_rest_truncated_normalized_basis_axis_x_2	bone_rest_truncated_normalized_basis_axis_y_0	bone_rest_truncated_normalized_basis_axis_y_1	bone_rest_truncated_normalized_basis_axis_y_2	bone_rest_x_global_scale_in_meters	bone_rest_y_global_scale_in_meters	bone_rest_z_global_scale_in_meters	bone_x_global_origin_in_meters	bone_y_global_origin_in_meters	bone_z_global_origin_in_meters	bone_truncated_normalized_basis_axis_x_0	bone_truncated_normalized_basis_axis_x_1	bone_truncated_normalized_basis_axis_x_2	bone_truncated_normalized_basis_axis_y_0	bone_truncated_normalized_basis_axis_y_1	bone_truncated_normalized_basis_axis_y_2	bone_x_global_scale_in_meters	bone_y_global_scale_in_meters	bone_z_global_scale_in_meters	bone_parent_y_global_origin_in_meters	bone_parent_z_global_origin_in_meters	bone_parent_truncated_normalized_basis_axis_x_0	bone_parent_truncated_normalized_basis_axis_x_1	bone_parent_truncated_normalized_basis_axis_x_2	bone_parent_truncated_normalized_basis_axis_y_0	bone_parent_truncated_normalized_basis_axis_y_1	bone_parent_truncated_normalized_basis_axis_y_2	bone_parent_x_global_scale_in_meters	bone_parent_y_global_scale_in_meters	bone_parent_z_global_scale_in_meters	bone_hierarchy	specification_version	label
Hips	0.00000000011084	0.00000000011084	0.00000000011084	-1	0	0.00000008742278	0	1	0	1	1	1	0.00000000011084	1.03117954730988	-0.06179988384247	1	0	0	0	1	0	1	1	1	1.03117954730988	-0.06179988384247	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	hips
LeftSkirt02	-0.10642689466476	-0.10642689466476	-0.10642689466476	1	0	0	0	1	0	1	1	1	-0.10642689466476	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1	1.0615656375885	-0.07291269302368	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	VRM_BONE_NONE
LeftSkirt02_end	-0.07040175795555	-0.07040175795555	-0.07040175795555	1	0	0	0	1	0	1	1	1	-0.17682865262032	0.93226850032806	-0.04720014333725	1	0	0	0	1	0	1	1	1	0.93226850032806	-0.04720014333725	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	VRM_BONE_NONE
LeftSkirt03	-0.04811492934823	-0.04811492934823	-0.04811492934823	1	0	0	0	1	0	1	1	1	-0.04811492934823	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1	1.08416247367859	0.00728559494019	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	VRM_BONE_NONE
LeftSkirt03_end	-0.05138335749507	-0.05138335749507	-0.05138335749507	1	0	0	0	1	0	1	1	1	-0.0994982868433	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1	0.94324016571045	0.09539288282394	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	VRM_BONE_NONE
LeftUpLeg	-0.07144650071859	-0.07144650071859	-0.07144650071859	1	0	0	0	1	0	1	1	1	-0.07144650071859	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1	0.93666994571686	-0.06688451766968	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	leftUpperLeg
LeftLeg	0.01566417887807	0.01566417887807	0.01566417887807	1	0	0	0	1	0	1	1	1	-0.05578232184052	0.58720636367798	-0.05637860298157	1	0	0	0	1	0	1	1	1	0.58720636367798	-0.05637860298157	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	leftLowerLeg
LeftFoot	0.01054899021983	0.01054899021983	0.01054899021983	1	0	0	0	1	0	1	1	1	-0.04523333162069	0.16505289077759	-0.01658700406551	1	0	0	0	1	0	1	1	1	0.16505289077759	-0.01658700406551	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	leftFoot
LeftToe	0.00606931373477	0.00606931373477	0.00606931373477	1	0	0	0	1	0	1	1	1	-0.03916401788592	0.07671844959259	-0.08461366593838	1	0	0	0	1	0	1	1	1	0.07671844959259	-0.08461366593838	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	leftToes
LeftToe_end	0.00214638188481	0.00214638188481	0.00214638188481	1	0	0	0	1	0	1	1	1	-0.03701763600111	0.05708557367325	-0.13175150752068	1	0	0	0	1	0	1	1	1	0.05708557367325	-0.13175150752068	1	0	0	0	1	0	1	1	1	Hips,,LeftSkirt02,LeftSkirt02_end,LeftSkirt03,LeftSkirt03_end,LeftUpLeg,LeftLeg,LeftFoot,LeftToe,LeftToe_end,LeftSkirt01,LeftSkirt01_end,RightSkirt02,RightSkirt02_end,RightSkirt03,RightSkirt03_end,RightUpLeg,RightLeg,RightFoot,RightToe,RightToe_end,RightSkirt01,RightSkirt01_end,Spine,Chest,LeftBust,LeftBust_end,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandIndex3_end,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandMiddle3_end,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandPinky3_end,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandRing3_end,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,LeftHandThumb3_end,Neck,Head,HairBack1,HairBack2,HairBack3,HairBack3_end,HairBangs_L,HairBangs_L_end,HairBangs_R,HairBangs_R_end,HairSide1_L,HairSide2_L,HairSide3_L,HairSide3_L_end,HairSide1_R,HairSide2_R,HairSide3_R,HairSide3_R_end,LeftEye,LeftEye_end,RightEye,RightEye_end,tongue01,tongue02,tongue03,tongue03_end,RightBust,RightBust_end,RightShoulder,RightArm,RightForeArm,RightHand,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandIndex3_end,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandMiddle3_end,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandPinky3_end,RightHandRing1,RightHandRing2,RightHandRing3,RightHandRing3_end,RightHandThumb1,RightHandThumb2,RightHandThumb3,RightHandThumb3_end	VRM_VERSION_NONE	VRM_BONE_NONE
