bone	bone_rest_x_global_origin_in_meters	bone_rest_y_global_origin_in_meters	bone_rest_z_global_origin_in_meters	bone_rest_truncated_normalized_basis_axis_x_0	bone_rest_truncated_normalized_basis_axis_x_1	bone_rest_truncated_normalized_basis_axis_x_2	bone_rest_truncated_normalized_basis_axis_y_0	bone_rest_truncated_normalized_basis_axis_y_1	bone_rest_truncated_normalized_basis_axis_y_2	bone_rest_x_global_scale_in_meters	bone_rest_y_global_scale_in_meters	bone_rest_z_global_scale_in_meters	bone_x_global_origin_in_meters	bone_y_global_origin_in_meters	bone_z_global_origin_in_meters	bone_truncated_normalized_basis_axis_x_0	bone_truncated_normalized_basis_axis_x_1	bone_truncated_normalized_basis_axis_x_2	bone_truncated_normalized_basis_axis_y_0	bone_truncated_normalized_basis_axis_y_1	bone_truncated_normalized_basis_axis_y_2	bone_x_global_scale_in_meters	bone_y_global_scale_in_meters	bone_z_global_scale_in_meters	bone_parent_x_global_origin_in_meters	bone_parent_y_global_origin_in_meters	bone_parent_z_global_origin_in_meters	bone_parent_truncated_normalized_basis_axis_x_0	bone_parent_truncated_normalized_basis_axis_x_1	bone_parent_truncated_normalized_basis_axis_x_2	bone_parent_truncated_normalized_basis_axis_y_0	bone_parent_truncated_normalized_basis_axis_y_1	bone_parent_truncated_normalized_basis_axis_y_2	bone_parent_x_global_scale_in_meters	bone_parent_y_global_scale_in_meters	bone_parent_z_global_scale_in_meters	bone_hierarchy	specification_version	label
Root	0	0	0	-1	0	0.00000008742278	0	1	0	1	1	1	-0	-0.0081920735538	0.08080500364304	1	0	0	0	1	0	1	1	1	-0	-0.0081920735538	0.08080500364304	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		
pelvis	0	0	0	1	0	0	0	1	0	1	1	1	0	0.76714712381363	0.03167488798499	1	0	0	0	1	0	1	1	1	0	0.76714712381363	0.03167488798499	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		hips
spine_01	0	0	0	1	0	0	0	1	0	1	1	1	0	0.83697229623795	0.07572489976883	1	0	0	0	1	0	1	1	1	0	0.83697229623795	0.07572489976883	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		spine
spine_02	0.00000000067052	0.00000000067052	0.00000000067052	1	0	0	0	1	0	1	1	1	0.00000000067052	0.89575231075287	0.05521988868713	1	0	0	0	1	0	1	1	1	0.00000000067052	0.89575231075287	0.05521988868713	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		chest
spine_03	0.00000000026149	0.00000000026149	0.00000000026149	1	0	0	0	1	0	1	1	1	0.00000000093202	0.98054850101471	0.04375491663814	1	0	0	0	1	0	1	1	1	0.00000000093202	0.98054850101471	0.04375491663814	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		chest
clavicle_l	-0.02107998915017	-0.02107998915017	-0.02107998915017	1	0	0	0	1	0	1	1	1	-0.02107998728752	1.19386863708496	0.03762492910028	1	0	0	0	1	0	1	1	1	-0.02107998728752	1.19386863708496	0.03762492910028	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		leftShoulder
upperarm_l	-0.1266900151968	-0.1266900151968	-0.1266900151968	1	0	0	0	1	0	1	1	1	-0.14777000248432	1.20715832710266	0.03439493849874	1	0	0	0	1	0	1	1	1	-0.14777000248432	1.20715832710266	0.03439493849874	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		leftUpperArm
lowerarm_l	-0.21887008845806	-0.21887008845806	-0.21887008845806	1	0	0	0	1	0	1	1	1	-0.36664009094238	1.20492839813232	0.03822996839881	1	0	0	0	1	0	1	1	1	-0.36664009094238	1.20492839813232	0.03822996839881	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		leftLowerArm
hand_l	-0.19717007875443	-0.19717007875443	-0.19717007875443	1	0	0	0	1	0	1	1	1	-0.56381016969681	1.20448803901672	0.04540105164051	1	0	0	0	1	0	1	1	1	-0.56381016969681	1.20448803901672	0.04540105164051	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		leftHand
index_01_l	-0.08595997095108	-0.08595997095108	-0.08595997095108	1	0	0	0	1	0	1	1	1	-0.64977014064789	1.20397806167603	0.01691200956702	1	0	0	0	1	0	1	1	1	-0.64977014064789	1.20397806167603	0.01691200956702	1	0	0	0	1	0	1	1	1	Root pelvis spine_01 spine_02 spine_03 clavicle_l upperarm_l lowerarm_l hand_l index_01_l index_02_l index_03_l middle_01_l middle_02_l middle_03_l pinky_01_l pinky_02_l pinky_03_l ring_01_l ring_02_l ring_03_l thumb_01_l thumb_02_l thumb_03_l clavicle_r upperarm_r lowerarm_r hand_r index_01_r index_02_r index_03_r middle_01_r middle_02_r middle_03_r pinky_01_r pinky_02_r pinky_03_r ring_01_r ring_02_r ring_03_r thumb_01_r thumb_02_r thumb_03_r neck_01 head thigh_l calf_l foot_l ball_l thigh_r calf_r foot_r ball_r 		leftIndexProximal
