bone	bone_rest_x_global_origin_in_meters	bone_rest_y_global_origin_in_meters	bone_rest_z_global_origin_in_meters	bone_rest_truncated_normalized_basis_axis_x_0	bone_rest_truncated_normalized_basis_axis_x_1	bone_rest_truncated_normalized_basis_axis_x_2	bone_rest_truncated_normalized_basis_axis_y_0	bone_rest_truncated_normalized_basis_axis_y_1	bone_rest_truncated_normalized_basis_axis_y_2	bone_rest_x_global_scale_in_meters	bone_rest_y_global_scale_in_meters	bone_rest_z_global_scale_in_meters	bone_x_global_origin_in_meters	bone_y_global_origin_in_meters	bone_z_global_origin_in_meters	bone_truncated_normalized_basis_axis_x_0	bone_truncated_normalized_basis_axis_x_1	bone_truncated_normalized_basis_axis_x_2	bone_truncated_normalized_basis_axis_y_0	bone_truncated_normalized_basis_axis_y_1	bone_truncated_normalized_basis_axis_y_2	bone_x_global_scale_in_meters	bone_y_global_scale_in_meters	bone_z_global_scale_in_meters	bone_parent_x_global_origin_in_meters	bone_parent_y_global_origin_in_meters	bone_parent_z_global_origin_in_meters	bone_parent_truncated_normalized_basis_axis_x_0	bone_parent_truncated_normalized_basis_axis_x_1	bone_parent_truncated_normalized_basis_axis_x_2	bone_parent_truncated_normalized_basis_axis_y_0	bone_parent_truncated_normalized_basis_axis_y_1	bone_parent_truncated_normalized_basis_axis_y_2	bone_parent_x_global_scale_in_meters	bone_parent_y_global_scale_in_meters	bone_parent_z_global_scale_in_meters	bone_hierarchy	specification_version	label
pelvis	0	0	0	-1	0	0.00000008742278	0	1	0	1	1	1	0	0.9476700425148	-0.01038997713476	1	0	0	0	1	0	1	1	1	0	0.9476700425148	-0.01038997713476	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		hips
thigh.l	-0.101906709373	-0.101906709373	-0.101906709373	1	0	0	0	1	0	1	1	1	-0.101906709373	0.9212002158165	-0.00987345539033	1	0	0	0	1	0	1	1	1	-0.101906709373	0.9212002158165	-0.00987345539033	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		leftUpperLeg
calf.l	-0.03416419774294	-0.03416419774294	-0.03416419774294	1	0	0	0	1	0	1	1	1	-0.13607090711594	0.53348046541214	0.00029723066837	1	0	0	0	1	0	1	1	1	-0.13607090711594	0.53348046541214	0.00029723066837	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		leftLowerLeg
foot.l	-0.0453097820282	-0.0453097820282	-0.0453097820282	1	0	0	0	1	0	1	1	1	-0.18138068914413	0.10984861850739	0.04051137715578	1	0	0	0	1	0	1	1	1	-0.18138068914413	0.10984861850739	0.04051137715578	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		leftFoot
ball.l	-0.01370030641556	-0.01370030641556	-0.01370030641556	1	0	0	0	1	0	1	1	1	-0.19508099555969	0.01975025236607	-0.04889812320471	1	0	0	0	1	0	1	1	1	-0.19508099555969	0.01975025236607	-0.04889812320471	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		leftToes
thigh.r	0.101906709373	0.101906709373	0.101906709373	1	0	0	0	1	0	1	1	1	0.101906709373	0.9212002158165	-0.00987345539033	1	0	0	0	1	0	1	1	1	0.101906709373	0.9212002158165	-0.00987345539033	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		rightUpperLeg
calf.r	0.03416424244642	0.03416424244642	0.03416424244642	1	0	0	0	1	0	1	1	1	0.13607095181942	0.5334804058075	0.00029721669853	1	0	0	0	1	0	1	1	1	0.13607095181942	0.5334804058075	0.00029721669853	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		rightLowerLeg
foot.r	0.04530975222588	0.04530975222588	0.04530975222588	1	0	0	0	1	0	1	1	1	0.1813807040453	0.109848767519	0.04051134735346	1	0	0	0	1	0	1	1	1	0.1813807040453	0.109848767519	0.04051134735346	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		rightFoot
ball.r	0.01370023190975	0.01370023190975	0.01370023190975	1	0	0	0	1	0	1	1	1	0.19508093595505	0.01975040882826	-0.04889813065529	1	0	0	0	1	0	1	1	1	0.19508093595505	0.01975040882826	-0.04889813065529	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		rightToes
spine_01	-0.00000000000005	-0.00000000000005	-0.00000000000005	1	0	0	0	1	0	1	1	1	-0.00000000000005	1.0655905008316	-0.03464244678617	1	0	0	0	1	0	1	1	1	-0.00000000000005	1.0655905008316	-0.03464244678617	1	0	0	0	1	0	1	1	1	pelvis thigh.l calf.l foot.l ball.l thigh.r calf.r foot.r ball.r spine_01 spine_02 neck_01 head clavicle.r upperarm.r lowerarm.r hand.r thumb_01.r thumb_02.r thumb_03.r ring_01.r ring_02.r ring_03.r middle_01.r middle_02.r middle_03.r index_01.r index_02.r index_03.r clavicle.l upperarm.l lowerarm.l hand.l thumb_01.l thumb_02.l thumb_03.l ring_01.l ring_02.l ring_03.l middle_01.l middle_02.l middle_03.l index_01.l index_02.l index_03.l 		spine
