bone	bone_rest_x_global_origin_in_meters	bone_rest_y_global_origin_in_meters	bone_rest_z_global_origin_in_meters	bone_rest_truncated_normalized_basis_axis_x_0	bone_rest_truncated_normalized_basis_axis_x_1	bone_rest_truncated_normalized_basis_axis_x_2	bone_rest_truncated_normalized_basis_axis_y_0	bone_rest_truncated_normalized_basis_axis_y_1	bone_rest_truncated_normalized_basis_axis_y_2	bone_rest_x_global_scale_in_meters	bone_rest_y_global_scale_in_meters	bone_rest_z_global_scale_in_meters	bone_x_global_origin_in_meters	bone_y_global_origin_in_meters	bone_z_global_origin_in_meters	bone_truncated_normalized_basis_axis_x_0	bone_truncated_normalized_basis_axis_x_1	bone_truncated_normalized_basis_axis_x_2	bone_truncated_normalized_basis_axis_y_0	bone_truncated_normalized_basis_axis_y_1	bone_truncated_normalized_basis_axis_y_2	bone_x_global_scale_in_meters	bone_y_global_scale_in_meters	bone_z_global_scale_in_meters	bone_parent_x_global_origin_in_meters	bone_parent_y_global_origin_in_meters	bone_parent_z_global_origin_in_meters	bone_parent_truncated_normalized_basis_axis_x_0	bone_parent_truncated_normalized_basis_axis_x_1	bone_parent_truncated_normalized_basis_axis_x_2	bone_parent_truncated_normalized_basis_axis_y_0	bone_parent_truncated_normalized_basis_axis_y_1	bone_parent_truncated_normalized_basis_axis_y_2	bone_parent_x_global_scale_in_meters	bone_parent_y_global_scale_in_meters	bone_parent_z_global_scale_in_meters	bone_hierarchy	specification_version	label
Hips	0.00027780767414	0.00027780767414	0.00027780767414	-1	0	0.00000008742278	0	1	0	1	1	1	0.00027780767414	0.91814631223679	-0.02424664236605	1	0	0	0	1	0	1	1	1	0.00027780767414	0.91814631223679	-0.02424664236605	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		hips
Spine	-0.00000000081491	-0.00000000081491	-0.00000000081491	1	0	0	0	1	0	1	1	1	0.00027780685923	1.00721716880798	-0.01556464284658	1	0	0	0	1	0	1	1	1	0.00027780685923	1.00721716880798	-0.01556464284658	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		hips
Spine1	-0.00000000096043	-0.00000000096043	-0.00000000096043	1	0	0	0	1	0	1	1	1	0.0002778058988	1.11113333702087	-0.00543544162065	1	0	0	0	1	0	1	1	1	0.0002778058988	1.11113333702087	-0.00543544162065	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		spine
Spine2	-0.00000000101863	-0.00000000101863	-0.00000000101863	1	0	0	0	1	0	1	1	1	0.00027780488017	1.2298948764801	0.00614080950618	1	0	0	0	1	0	1	1	1	0.00027780488017	1.2298948764801	0.00614080950618	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		chest
Neck	0.00000004703179	0.00000004703179	0.00000004703179	1	0	0	0	1	0	1	1	1	0.00027785191196	1.36350083351135	0.01916396059096	1	0	0	0	1	0	1	1	1	0.00027785191196	1.36350083351135	0.01916396059096	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		neck
Head	-0.00000010023359	-0.00000010023359	-0.00000010023359	1	0	0	0	1	0	1	1	1	0.00027775167837	1.44945859909058	-0.00133424252272	1	0	0	0	1	0	1	1	1	0.00027775167837	1.44945859909058	-0.00133424252272	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		head
leaf	-0.00000021193409	-0.00000021193409	-0.00000021193409	1	0	0	0	1	0	1	1	1	0.00027753974427	1.62902247905731	-0.0013336436823	1	0	0	0	1	0	1	1	1	0.00027753974427	1.62902247905731	-0.0013336436823	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		head
LeftEye	-0.02600945159793	-0.02600945159793	-0.02600945159793	1	0	0	0	1	0	1	1	1	-0.02573169954121	1.52210021018982	-0.0998627692461	1	0	0	0	1	0	1	1	1	-0.02573169954121	1.52210021018982	-0.0998627692461	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		leftEye
RightEye	0.02649725787342	0.02649725787342	0.02649725787342	1	0	0	0	1	0	1	1	1	0.02677500993013	1.52210032939911	-0.09986268728971	1	0	0	0	1	0	1	1	1	0.02677500993013	1.52210032939911	-0.09986268728971	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		rightEye
LeftShoulder	-0.04666577279568	-0.04666577279568	-0.04666577279568	1	0	0	0	1	0	1	1	1	-0.04638796672225	1.34762716293335	0.01933719031513	1	0	0	0	1	0	1	1	1	-0.04638796672225	1.34762716293335	0.01933719031513	1	0	0	0	1	0	1	1	1	Hips Spine Spine1 Spine2 Neck Head leaf LeftEye RightEye LeftShoulder LeftArm LeftForeArm LeftHand LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 leaf.001 LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 leaf.002 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 leaf.003 LeftHandRing1 LeftHandRing2 LeftHandRing3 leaf.004 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 leaf.005 RightShoulder RightArm RightForeArm RightHand RightHandThumb1 RightHandThumb2 RightHandThumb3 leaf.006 RightHandIndex1 RightHandIndex2 RightHandIndex3 leaf.007 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 leaf.008 RightHandRing1 RightHandRing2 RightHandRing3 leaf.009 RightHandPinky1 RightHandPinky2 RightHandPinky3 leaf.010 LeftUpLeg LeftLeg LeftFoot LeftToeBase leaf.011 RightUpLeg RightLeg RightFoot RightToeBase leaf.012 		leftShoulder
